# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul 30 19:22:04 2019
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_orbtper:     Time of Periastron [days]
# COLUMN pl_orbtpererr1: Time of Periastron Upper Unc. [days]
# COLUMN pl_orbtpererr2: Time of Periastron Lower Unc. [days]
# COLUMN pl_orbtperlim:  Time of Periastron Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN pl_msinijerr1:  Planet M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_msinijerr2:  Planet M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_msinijlim:   Planet M*sin(i) Limit Flag
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [days]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [days]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_tsystemref:  Time System Reference
# COLUMN pl_facility:    Discovery Facility
# COLUMN pl_mnum:        Number of Moons in System
#
pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,pl_facility,pl_mnum
HD 85512,b,HD 85512 b,1,58.43000000,0.13000000,-0.13000000,0,0.260000,0.000000,0.000000,0,0.110000,0.100000,-0.100000,0,,,,0,0.01000,0.00000,0.00000,0,Msini,,,,0,,,,0,0,0,0,0,09h51m07.05s,147.779388,-43d30m10.0s,-43.502789,11.28,0.01,-0.01,0,11.28,0.01,-0.01,0,4300.00,45.00,-45.00,0,0.43,0.10,-0.10,0,0.71,0.02,-0.02,0,2018-09-06,,,,0,,,,,0.01000,0.00000,0.00000,0,,,,0,,,,0,,La Silla Observatory,0
HD 8574,b,HD 8574 b,1,227.00000000,0.20000000,-0.20000000,0,0.760000,0.010000,-0.010000,0,0.300000,0.030000,-0.030000,0,,,,0,2.03000,0.14000,-0.14000,0,Msini,,,,0,,,,0,0,0,0,0,01h25m12.52s,21.302153,+28d34m00.1s,28.566692,44.88,0.09,-0.09,0,44.88,0.09,-0.09,0,6064.00,14.00,-14.00,0,1.34,0.12,-0.12,0,1.38,0.02,-0.02,0,2018-09-06,,,,0,,,,,2.03000,0.14000,-0.14000,0,,,,0,,,,0,,Haute-Provence Observatory,0
HD 86081,b,HD 86081 b,1,2.13784310,0.00000310,-0.00000310,0,0.034600,0.002700,-0.002700,0,0.011900,0.004700,-0.004700,0,,,,0,1.48000,0.23000,-0.23000,0,Msini,,,,0,,,,0,0,0,0,0,09h56m05.92s,149.024658,-03d48m30.3s,-3.808422,104.24,0.55,-0.55,0,104.24,0.55,-0.55,0,5939.00,,,0,1.21,0.28,-0.28,0,1.46,0.14,-0.14,0,2018-09-27,2463695.460000,0.140000,-0.140000,0,,,,0,1.48000,0.23000,-0.23000,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
HD 86226,b,HD 86226 b,1,1695.00000000,58.00000000,-58.00000000,0,2.840000,0.060000,-0.060000,0,0.150000,0.090000,-0.090000,0,,,,,0.92000,0.10000,-0.10000,0,Msini,,,,,,,,,0,0,0,0,09h56m29.85s,149.124359,-24d05m57.8s,-24.099390,45.74,0.10,-0.10,0,45.74,0.10,-0.10,0,5903.00,31.00,-31.00,0,1.06,0.03,-0.03,0,1.02,0.03,-0.03,0,2014-05-14,2454821.000000,288.000000,-288.000000,0,,,,,0.92000,0.10000,-0.10000,0,,,,,,,,,,Las Campanas Observatory,0
HD 86264,b,HD 86264 b,1,1475.00000000,55.00000000,-55.00000000,0,2.860000,0.070000,-0.070000,0,0.700000,0.200000,-0.200000,0,,,,,7.00000,1.60000,-1.60000,0,Msini,,,,,,,,,0,0,0,0,09h56m57.84s,149.240997,-15d53m42.4s,-15.895122,67.94,0.27,-0.27,0,67.94,0.27,-0.27,0,6210.00,44.00,-44.00,0,1.42,0.05,-0.05,0,1.88,0.12,-0.12,0,2015-04-24,2455172.000000,114.000000,-114.000000,0,,,,,7.00000,1.60000,-1.60000,0,,,,,,,,,JD,Lick Observatory,0
HD 8673,b,HD 8673 b,1,1634.00000000,17.00000000,-17.00000000,0,3.020000,0.150000,-0.150000,0,0.723000,0.016000,-0.016000,0,,,,0,14.20000,1.60000,-1.60000,0,Msini,,,,0,,,,0,0,0,0,0,01h26m08.78s,21.536604,+34d34m46.9s,34.579700,37.90,0.05,-0.05,0,37.90,0.05,-0.05,0,6472.00,51.00,-51.00,0,1.35,0.10,-0.10,0,1.39,0.10,-0.10,0,2019-01-31,2454420.500000,7.900000,-7.900000,0,,,,0,14.20000,1.60000,-1.60000,0,,,,0,,,,0,,Thueringer Landessternwarte Tautenburg,0
HD 86950,b,HD 86950 b,1,1270.00000000,57.00000000,-57.00000000,0,2.720000,0.080000,-0.080000,0,0.170000,0.160000,-0.160000,0,,,,,3.60000,0.70000,-0.70000,0,Msini,,,,,,,,,0,0,0,0,10h01m37.61s,150.406708,-17d19m58.9s,-17.333023,211.10,1.95,-1.95,0,211.10,1.95,-1.95,0,4805.00,100.00,-100.00,0,1.66,0.25,-0.25,0,8.80,0.60,-0.60,0,2016-12-01,2454245.000000,161.000000,-161.000000,0,,,,,3.60000,0.70000,-0.70000,0,,,,,,,,,BJD,Multiple Observatories,0
HD 87646,b,HD 87646 b,1,13.48100000,0.00100000,-0.00100000,0,0.117000,0.003000,-0.003000,0,0.050000,0.020000,-0.020000,0,,,,,12.40000,0.70000,-0.70000,0,Msini,,,,,,,,,0,0,0,0,10h06m40.77s,151.669861,+17d53m42.4s,17.895103,135.17,14.24,-14.24,0,135.17,14.24,-14.24,0,5770.00,80.00,-80.00,0,1.12,0.09,-0.09,0,1.55,0.22,-0.22,0,2016-08-18,2454088.300000,1.100000,-1.100000,0,,,,,12.40000,0.70000,-0.70000,0,,,,,,,,,JD-UTC,Apache Point Observatory,0
HD 87883,b,HD 87883 b,1,2754.00000000,87.00000000,-87.00000000,0,3.580000,0.100000,-0.100000,0,0.530000,0.120000,-0.120000,0,,,,0,1.54000,0.26000,-0.26000,0,Msini,,,,0,,,,0,0,0,0,0,10h08m43.14s,152.179749,+34d14m32.1s,34.242260,18.30,0.01,-0.01,0,18.30,0.01,-0.01,0,4915.00,73.00,-73.00,0,0.66,0.09,-0.09,0,0.79,0.03,-0.03,0,2018-09-06,,,,0,,,,,1.54000,0.26000,-0.26000,0,,,,0,,,,0,,Lick Observatory,0
HD 88133,b,HD 88133 b,1,3.41488400,0.00003000,-0.00003000,0,0.047900,0.003300,-0.003300,0,0.031000,0.021000,-0.021000,0,,,,0,0.28450,0.00630,-0.00630,0,Msini,,,,,,,,0,0,0,0,0,10h10m07.68s,152.531982,+18d11m12.7s,18.186871,73.77,0.30,-0.30,0,73.77,0.30,-0.30,0,5392.00,,,0,1.26,,,0,2.20,,,0,2018-12-06,2453016.820000,0.370000,-0.370000,0,,,,0,0.28450,0.00630,-0.00630,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
HD 89307,b,HD 89307 b,1,2166.00000000,38.00000000,-38.00000000,0,3.270000,0.070000,-0.070000,0,0.200000,0.050000,-0.050000,0,,,,0,2.11000,0.21000,-0.21000,0,Msini,,,,0,,,,0,0,0,0,0,10h18m21.29s,154.588699,+12d37m16.0s,12.621108,32.04,0.05,-0.05,0,32.04,0.05,-0.05,0,5955.00,14.00,-14.00,0,1.27,0.12,-0.12,0,1.10,0.01,-0.01,0,2018-09-06,,,,0,,,,,2.11000,0.21000,-0.21000,0,,,,0,,,,0,,Lick Observatory,0
HD 89345,b,HD 89345 b,1,11.81430000,0.00020000,-0.00020000,0,0.106600,0.001200,-0.001400,0,0.220000,0.095000,-0.130000,0,87.210,0.430,-0.220,0,0.11000,0.01700,-0.01800,0,Mass,0.660,0.028,-0.030,0,0.47100,0.09400,-0.08400,0,0,0,1,3,10h18m41.06s,154.671066,+10d07m44.5s,10.129028,132.80,1.80,-1.70,0,132.85,0.80,-0.80,0,5576.00,73.00,-76.00,0,1.16,0.04,-0.04,0,1.75,0.05,-0.05,0,2018-08-23,2457911.300000,1.500000,-0.890000,0,0.11000,0.01700,-0.01800,0,0.11000,0.01700,-0.01800,0,0.2389000,0.0016000,-0.0016000,0,2457913.805200,0.001100,-0.001000,0,BJD-TDB,K2,0
HD 89744,b,HD 89744 b,1,256.78000000,0.02000000,-0.02000000,0,0.917000,0.009000,-0.009000,0,0.677000,0.003000,-0.003000,0,,,,0,8.35000,0.18000,-0.18000,0,Msini,,,,0,,,,0,0,0,0,0,10h22m10.56s,155.544006,+41d13m46.3s,41.229530,38.68,0.11,-0.11,0,38.68,0.11,-0.11,0,6291.00,,,0,1.86,,,0,,,,0,2019-03-14,,,,0,,,,0,8.35000,0.18000,-0.18000,0,,,,0,,,,0,,Fred Lawrence Whipple Observatory,0
HD 90156,b,HD 90156 b,1,49.77000000,0.07000000,-0.07000000,0,0.250000,0.004000,-0.004000,0,0.310000,0.100000,-0.100000,0,,,,,0.05700,0.00500,-0.00500,0,Msini,,,,,,,,,0,0,0,0,10h23m55.28s,155.980316,-29d38m43.9s,-29.645529,21.96,0.02,-0.02,0,21.96,0.02,-0.02,0,5599.00,12.00,-12.00,0,0.84,,,0,,,,,2014-05-14,,,,,,,,,0.05700,0.00500,-0.00500,0,,,,,,,,,,La Silla Observatory,0
HD 9174,b,HD 9174 b,1,1179.00000000,34.00000000,-34.00000000,0,2.200000,0.090000,-0.090000,0,0.120000,0.050000,-0.050000,0,,,,,1.11000,0.14000,-0.14000,0,Msini,,,,,,,,,0,0,0,0,01h30m01.00s,22.504177,-19d36m16.2s,-19.604502,81.68,0.30,-0.30,0,81.68,0.30,-0.30,0,5577.00,100.00,-100.00,0,1.03,0.05,-0.05,0,1.67,0.07,-0.07,0,2016-11-10,,,,,,,,,1.11000,0.14000,-0.14000,0,,,,,,,,,,Multiple Observatories,0
HD 92788,b,HD 92788 b,2,325.80300000,0.03652500,-0.03652500,0,0.970000,0.020000,-0.020000,0,0.350000,0.004000,-0.005000,0,,,,0,3.76000,0.16000,-0.15000,0,Msini,,,,0,,,,0,0,0,0,0,10h42m48.53s,160.702209,-02d11m01.5s,-2.183756,34.69,0.06,-0.06,0,34.69,0.06,-0.06,0,5744.00,24.00,-24.00,0,1.15,0.07,-0.07,0,1.14,0.02,-0.02,0,2019-04-11,2455647.140000,0.730000,-0.730000,0,,,,0,3.76000,0.16000,-0.15000,0,,,,0,,,,0,BJD,Multiple Observatories,0
HD 92788,c,HD 92788 c,2,11611.29750000,5055.06000000,-905.82000000,0,10.500000,2.900000,-0.550000,0,0.460000,0.120000,-0.030000,0,,,,0,3.67000,0.30000,-0.25000,0,Msini,,,,0,,,,0,0,0,0,0,10h42m48.53s,160.702209,-02d11m01.5s,-2.183756,34.69,0.06,-0.06,0,34.69,0.06,-0.06,0,5744.00,24.00,-24.00,0,1.15,0.07,-0.07,0,1.14,0.02,-0.02,0,2019-04-11,2456858.000000,133.000000,-202.000000,0,,,,0,3.67000,0.30000,-0.25000,0,,,,0,,,,0,BJD,La Silla Observatory,0
HD 92987,b,HD 92987 b,1,10354.83750000,551.52750000,-270.28500000,0,9.620000,0.360000,-0.260000,0,0.210000,0.020000,-0.010000,0,,,,0,16.88000,0.69000,-0.65000,0,Msini,,,,0,,,,0,0,0,0,1,10h43m36.27s,160.901108,-39d03m30.3s,-39.058426,43.59,0.07,-0.07,0,43.59,0.07,-0.07,0,5770.00,36.00,-36.00,0,1.08,0.06,-0.06,0,1.58,0.04,-0.04,0,2019-04-11,2457889.000000,130.000000,-180.000000,0,,,,0,16.88000,0.69000,-0.65000,0,,,,0,,,,0,BJD,La Silla Observatory,0
HD 93083,b,HD 93083 b,1,143.58000000,0.60000000,-0.60000000,0,0.477000,,,0,0.140000,0.030000,-0.030000,0,,,,,0.37000,,,0,Msini,,,,,,,,,0,0,0,0,10h44m20.91s,161.087143,-33d34m37.3s,-33.577023,28.54,0.04,-0.04,0,28.54,0.04,-0.04,0,4995.00,50.00,-50.00,0,0.70,0.04,-0.04,0,,,,,2014-05-14,2453181.700000,3.000000,-3.000000,0,,,,,0.37000,,,0,,,,,,,,,,La Silla Observatory,0
HD 9446,b,HD 9446 b,2,30.05200000,0.02700000,-0.02700000,0,0.189000,0.006000,-0.006000,0,0.200000,0.060000,-0.060000,0,,,,0,0.70000,0.06000,-0.06000,0,Msini,,,,0,,,,0,0,0,0,0,01h33m20.18s,23.334101,+29d15m54.5s,29.265148,50.42,0.35,-0.35,0,50.42,0.35,-0.35,0,5793.00,22.00,-22.00,0,1.00,0.10,-0.10,0,1.00,,,0,2019-01-31,2454854.400000,2.000000,-2.000000,0,,,,0,0.70000,0.06000,-0.06000,0,,,,0,,,,0,,Haute-Provence Observatory,0
HD 9446,c,HD 9446 c,2,192.90000000,0.90000000,-0.90000000,0,0.654000,0.022000,-0.022000,0,0.060000,0.060000,-0.060000,0,,,,0,1.82000,0.17000,-0.17000,0,Msini,,,,0,,,,0,0,0,0,0,01h33m20.18s,23.334101,+29d15m54.5s,29.265148,50.42,0.35,-0.35,0,50.42,0.35,-0.35,0,5793.00,22.00,-22.00,0,1.00,0.10,-0.10,0,1.00,,,0,2019-01-31,2454510.000000,70.000000,-70.000000,0,,,,0,1.82000,0.17000,-0.17000,0,,,,0,,,,0,,Haute-Provence Observatory,0
HD 94834,b,HD 94834 b,1,1576.00000000,76.00000000,-76.00000000,0,2.740000,0.180000,-0.180000,0,0.140000,0.100000,-0.100000,0,,,,0,1.26000,0.17000,-0.17000,0,Msini,,,,,,,,0,0,0,0,0,10h57m15.11s,164.312973,+24d08m34.0s,24.142782,98.43,0.64,-0.64,0,98.43,0.64,-0.64,0,4798.00,,,0,1.11,,,0,4.20,,,0,2018-12-06,2456100.000000,190.000000,-190.000000,0,,,,0,1.26000,0.17000,-0.17000,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
HD 95086,b,HD 95086 b,1,,,,,55.700000,2.500000,-2.500000,0,,,,,,,,,5.00000,2.00000,-2.00000,0,Mass,,,,,,,,,0,0,0,1,10h57m03.02s,164.262589,-68d40m02.4s,-68.667343,86.44,0.24,-0.24,0,86.44,0.24,-0.24,0,,,,,1.60,,,0,,,,,2014-05-14,,,,,5.00000,2.00000,-2.00000,0,,,,,,,,,,,,,,Paranal Observatory,0
HD 95089,b,HD 95089 b,2,464.40000000,3.80000000,-3.80000000,0,1.360000,0.130000,-0.130000,0,0.119000,0.072000,-0.072000,0,,,,0,1.26000,0.08500,-0.08500,0,Msini,,,,,,,,0,0,0,0,1,10h58m47.74s,164.698898,+01d43m45.2s,1.729216,137.46,1.95,-1.95,0,137.46,1.95,-1.95,0,4918.00,,,0,1.54,,,0,5.08,,,0,2018-12-06,2440070.000000,130.000000,-130.000000,0,,,,0,1.26000,0.08500,-0.08500,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
HD 95089,c,HD 95089 c,2,1785.00000000,32.00000000,-32.00000000,0,3.330000,0.310000,-0.310000,0,0.284000,0.042000,-0.042000,0,,,,0,3.45000,0.14000,-0.14000,0,Msini,,,,,,,,0,0,0,0,1,10h58m47.74s,164.698898,+01d43m45.2s,1.729216,137.46,1.95,-1.95,0,137.46,1.95,-1.95,0,4918.00,,,0,1.54,,,0,5.08,,,0,2018-12-06,2441170.000000,260.000000,-260.000000,0,,,,0,3.45000,0.14000,-0.14000,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
HD 95127,b,HD 95127 b,1,482.00000000,5.00000000,-5.00000000,0,1.280000,0.080000,-0.080000,0,0.110000,0.100000,-0.100000,0,,,,0,10.63000,8.06000,-8.06000,0,Msini,,,,0,,,,0,0,0,0,0,10h59m35.09s,164.896194,+43d48m52.1s,43.814465,689.75,45.77,-45.77,0,689.75,45.77,-45.77,0,4218.00,30.00,-30.00,0,3.70,4.16,-4.16,0,41.01,18.22,-18.22,0,2018-09-06,,,,0,,,,,10.63000,8.06000,-8.06000,0,,,,0,,,,0,,McDonald Observatory,0
HD 95872,b,HD 95872 b,1,4375.00000000,170.00000000,-170.00000000,0,5.150000,0.160000,-0.160000,0,0.060000,0.040000,-0.040000,0,,,,0,3.74000,0.93000,-0.93000,0,Msini,,,,0,,,,0,0,0,0,1,11h03m28.11s,165.867114,-22d05m38.3s,-22.093977,72.37,0.18,-0.18,0,72.37,0.18,-0.18,0,5312.00,100.00,-100.00,0,0.70,0.25,-0.25,0,0.84,0.04,-0.04,0,2018-09-06,,,,0,,,,,3.74000,0.93000,-0.93000,0,,,,0,,,,0,,Multiple Facilities,0
HD 96063,b,HD 96063 b,1,362.50000000,2.20000000,-2.20000000,0,1.110000,0.140000,-0.140000,0,0.170000,0.110000,-0.110000,0,,,,0,1.27000,0.27000,-0.27000,0,Msini,,,,,,,,0,0,0,0,0,11h04m44.45s,166.185226,-02d30m47.6s,-2.513218,140.62,1.33,-1.33,0,140.62,1.33,-1.33,0,5020.00,,,0,1.37,,,0,4.75,,,0,2018-12-06,2455165.000000,43.000000,-43.000000,0,,,,0,1.27000,0.27000,-0.27000,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
HD 96127,b,HD 96127 b,1,647.29999000,17.00000000,-17.00000000,0,1.420000,0.130000,-0.130000,0,0.300000,0.100000,-0.100000,0,,,,0,20.96000,12.99000,-12.99000,0,Msini,,,,0,,,,0,0,0,0,0,11h05m45.95s,166.441452,+44d18m05.6s,44.301559,597.42,26.09,-26.09,0,597.42,26.09,-26.09,0,3943.00,23.00,-23.00,0,10.94,10.02,-10.02,0,51.10,22.81,-22.81,0,2018-09-06,,,,0,,,,,20.96000,12.99000,-12.99000,0,,,,0,,,,0,,McDonald Observatory,0
HD 96167,b,HD 96167 b,1,498.04000000,0.76000000,-0.76000000,0,1.332000,0.098000,-0.098000,0,0.685000,0.029000,-0.029000,0,,,,0,0.71700,0.04000,-0.04000,0,Msini,,,,,,,,0,0,0,0,0,11h05m15.07s,166.312790,-10d17m28.7s,-10.291301,85.51,0.41,-0.41,0,85.51,0.41,-0.41,0,5733.00,,,0,1.27,,,0,1.94,,,0,2018-12-06,2453061.100000,4.400000,-4.400000,0,,,,0,0.71700,0.04000,-0.04000,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
HD 97658,b,HD 97658 b,1,9.49090000,0.00160000,-0.00160000,0,,,,0,0.060000,0.050000,-0.050000,0,89.450,0.400,-0.400,0,0.03000,0.00000,0.00000,0,Mass,0.210,0.010,-0.010,0,,,,0,0,0,0,1,11h14m33.16s,168.638184,+25d42m37.4s,25.710384,21.58,0.03,-0.03,0,21.58,0.03,-0.03,0,5175.00,25.00,-25.00,0,0.89,0.15,-0.15,0,0.74,0.01,-0.01,0,2018-04-26,,,,0,0.03000,0.00000,0.00000,0,,,,0,,,,0,,,,0,,W. M. Keck Observatory,0
HD 98219,b,HD 98219 b,1,433.80000000,2.00000000,-2.00000000,0,1.260000,0.120000,-0.120000,0,0.079000,0.040000,-0.040000,0,,,,0,1.96400,0.09900,-0.09900,0,Msini,,,,,,,,0,0,0,0,0,11h17m47.55s,169.448135,-23d58m31.5s,-23.975414,114.07,0.58,-0.58,0,114.07,0.58,-0.58,0,4925.00,,,0,1.41,,,0,4.60,,,0,2018-12-06,2454633.000000,47.000000,-47.000000,0,,,,0,1.96400,0.09900,-0.09900,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
HD 98649,b,HD 98649 b,1,6022.97250000,412.73250000,-255.67500000,0,6.570000,0.310000,-0.230000,0,0.860000,0.040000,-0.020000,0,,,,0,6.79000,0.53000,-0.31000,0,Msini,,,,0,,,,0,0,0,0,0,11h20m51.77s,170.215698,-23d13m02.4s,-23.217342,42.22,0.09,-0.09,0,42.22,0.09,-0.09,0,5790.00,58.00,-58.00,0,1.03,0.06,-0.06,0,1.01,0.02,-0.02,0,2019-04-11,2455121.700000,16.800000,-28.100000,0,,,,0,6.79000,0.53000,-0.31000,0,,,,0,,,,0,BJD,La Silla Observatory,0
HD 98736,b,HD 98736 b,1,968.80000000,2.20000000,-2.20000000,0,1.864000,0.091000,-0.091000,0,0.226000,0.064000,-0.064000,0,,,,0,2.33000,0.78000,-0.78000,0,Msini,,,,0,,,,0,0,0,0,0,11h21m49.34s,170.455597,+18d11m24.0s,18.190001,32.48,0.06,-0.06,0,32.48,0.06,-0.06,0,5271.00,,,0,0.92,0.13,-0.13,0,0.93,0.04,-0.04,0,2018-09-27,2463541.000000,67.000000,-67.000000,0,,,,0,2.33000,0.78000,-0.78000,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
HD 99109,b,HD 99109 b,1,439.29999000,5.60000000,-5.60000000,0,1.110000,0.020000,-0.020000,0,0.090000,0.120000,-0.120000,0,,,,0,0.44000,0.08000,-0.08000,0,Msini,,,,0,,,,0,0,0,0,0,11h24m17.36s,171.072327,-01d31m44.7s,-1.529076,54.88,0.17,-0.17,0,54.88,0.17,-0.17,0,5282.00,32.00,-32.00,0,0.76,0.10,-0.10,0,0.98,0.02,-0.02,0,2018-09-06,,,,0,,,,,0.44000,0.08000,-0.08000,0,,,,0,,,,0,,W. M. Keck Observatory,0
HD 99492,b,HD 99492 b,1,17.04310000,0.00470000,-0.00470000,0,0.120000,0.000000,0.000000,0,0.250000,0.090000,-0.090000,0,,,,0,0.07000,0.05000,-0.05000,0,Msini,,,,0,,,,0,0,0,0,0,11h26m46.28s,171.692825,+03d00m22.8s,3.006328,18.21,0.06,-0.06,0,18.21,0.06,-0.06,0,4815.00,185.00,-185.00,0,0.48,0.51,-0.51,0,0.83,0.07,-0.07,0,2018-09-06,,,,0,,,,,0.07000,0.05000,-0.05000,0,,,,0,,,,0,,W. M. Keck Observatory,0
HD 99706,b,HD 99706 b,2,841.00000000,32.00000000,-32.00000000,0,1.980000,0.140000,-0.140000,0,0.250000,0.160000,-0.160000,0,,,,0,1.23000,0.19000,-0.19000,0,Msini,,,,,,,,0,0,0,0,0,11h28m30.21s,172.125885,+43d57m59.7s,43.966579,147.21,1.12,-1.12,0,147.21,1.12,-1.12,0,4862.00,,,0,1.46,,,0,5.52,,,0,2018-12-06,2455310.000000,89.000000,-89.000000,0,,,,0,1.23000,0.19000,-0.19000,0,,,,0,,,,0,JD,W. M. Keck Observatory,0
